nodes,workers,graph,variant,runs,seconds_median,reductions_median,updates_noted_median,distance_changes_median,rejected_median,tram_bytes_median,tram_messages_median,bucket_scale_median,coarsenings_median,read_seconds_median
4,16,rmat22,open,16,0.3459575,46.0,151434854.5,7602596.5,149016432.5,3635659340.0,76093.5,9.5,1.0,0.0
4,16,rmat22,tuned-fixed,16,0.3350495,51.5,152941937.0,7721591.5,150518990.0,3671893848.0,79905.5,1.0,0.0,0.0
8,16,mesh22,control,16,0.9394039999999999,884.0,519510375.0,145271360.5,389576016.5,12473703024.0,354647.5,1.0,0.0,0.0
8,16,mesh22,current,16,0.929146,748.5,537890137.5,149763631.5,403356541.5,12915487860.0,365636.0,1.0,0.0,0.0
8,16,mesh22,old-fixed,16,1.6148865,5660.5,393643430.0,106393152.0,295175154.5,9451070536.0,226765.0,1.0,0.0,0.0
8,16,mesh22,open,16,0.94414,862.0,535567568.5,150929757.5,401616926.0,12859342500.0,369362.0,1.0,0.0,0.0
8,16,mesh22,tuned-fixed,16,0.7409764999999999,3955.5,37542919.0,11487736.0,28151630.5,904281688.0,251520.0,1.0,0.0,0.0
8,16,rmat22,control,16,0.21553850000000002,68.0,182480651.5,8837914.0,180048606.0,4381244148.0,105188.0,9.0,1.0,0.0
8,16,rmat22,current,16,0.20791500000000002,66.0,178388788.5,8806041.0,175956122.0,4282992244.0,101793.0,8.5,1.0,0.0
8,16,rmat22,old-fixed,16,0.2275645,213.0,175516100.5,8327956.5,173095453.0,4214364476.0,127347.5,1.0,0.0,0.0
8,16,rmat22,open,16,0.202066,39.0,178347645.5,8423543.5,175888604.5,4281908932.0,97819.0,7.5,1.0,0.0
8,16,rmat22,tuned-fixed,16,0.21248250000000002,41.0,183035467.5,9285221.5,180591932.0,4394491572.0,105922.5,1.0,0.0,0.0
16,16,mesh22,control,16,0.895015,759.0,1001837060.0,278063285.5,751260665.0,24055570336.0,707116.0,1.0,0.0,0.0
16,16,mesh22,current,16,0.885042,723.5,1000323832.0,279421830.0,750138153.5,24018752744.0,714349.0,1.0,0.0,0.0
16,16,mesh22,old-fixed,16,2.213603,6654.0,710548431.5,192995636.0,532813157.0,17060155356.0,437064.0,1.0,0.0,0.0
16,16,mesh22,open,16,0.9113125,725.0,1002503008.0,279272463.5,751770300.0,24071042048.0,705614.0,1.0,0.0,0.0
16,16,mesh22,tuned-fixed,16,0.9627384999999999,3788.5,61201037.5,18217517.5,45889637.0,1477529364.0,457223.5,1.0,0.0,0.0
16,16,rmat22,control,16,0.1526225,52.5,233329718.0,10041298.5,230804979.5,5603129920.0,201044.5,8.5,1.0,0.0
16,16,rmat22,current,16,0.1650345,49.0,233731966.5,9947771.0,231215902.0,5612863884.0,204749.5,8.0,1.0,0.0
16,16,rmat22,old-fixed,16,0.20418950000000002,182.0,223125158.0,9567519.0,220644159.0,5358446616.0,227134.0,1.0,0.0,0.0
16,16,rmat22,open,16,0.1411595,27.5,234832580.0,10043866.5,232274583.0,5638339544.0,157621.5,9.0,1.0,0.0
16,16,rmat22,tuned-fixed,16,0.1445305,31.0,235756260.5,10432473.0,233192803.0,5660605572.0,159401.5,1.0,0.0,0.0
